week,weekly_trimp,acute_7d,chronic_28d,ac_ratio
2023-01-03,48.05,48.05,13.7875,3.485040797824116
2023-03-28,2.1666666666666665,2.1666666666666665,13.8875,0.156015601560156
2023-04-11,1.7833333333333334,1.7833333333333334,14.141666666666667,0.12610489098408956
2023-04-18,2.95,2.95,13.737499999999999,0.21474067333939947
2023-05-02,8.0,8.0,3.725,2.1476510067114094
2023-05-09,4.466666666666667,4.466666666666667,4.300000000000001,1.0387596899224805
2023-05-23,10.733333333333334,10.733333333333334,6.5375000000000005,1.6418100701083493
2023-05-30,3.083333333333333,3.083333333333333,6.570833333333334,0.4692454026632846
2023-06-13,2.4,2.4,5.170833333333333,0.4641418211120064
2023-06-20,3.9499999999999997,3.9499999999999997,5.041666666666667,0.7834710743801652
2023-06-27,7.633333333333334,7.633333333333334,4.266666666666667,1.7890625000000002
2023-07-04,13.133333333333333,13.133333333333333,6.779166666666667,1.9373079287031345
2023-07-11,12.133333333333333,12.133333333333333,9.212499999999999,1.3170511080958844
2023-08-08,14.466666666666665,14.466666666666665,11.841666666666667,1.2216748768472905
2023-08-15,13.933333333333334,13.933333333333334,13.416666666666668,1.0385093167701862
2023-08-22,2.6,2.6,10.783333333333331,0.24111282843894905
2023-08-29,2.7666666666666666,2.7666666666666666,8.441666666666666,0.32773938795656465
2023-09-05,1.8333333333333335,1.8333333333333335,5.283333333333333,0.34700315457413256
2023-09-12,0.7000000000000001,0.7000000000000001,1.975,0.35443037974683544
2023-09-19,2.683333333333333,2.683333333333333,1.9958333333333336,1.34446764091858
2023-10-03,3.2833333333333337,3.2833333333333337,2.125,1.5450980392156863
2023-10-17,0.9666666666666667,0.9666666666666667,1.9083333333333334,0.5065502183406113
2023-11-07,2.333333333333333,2.333333333333333,2.3166666666666664,1.0071942446043165
2023-11-14,0.6,0.6,1.7958333333333332,0.3341067285382831
2023-12-26,2.15,2.15,1.5125,1.421487603305785
2024-01-09,0.0,0.0,1.2708333333333333,0.0
