workout_id,activity,source_name,device,start_utc,end_utc,tz_offset_min,duration_sec,distance_m,energy_kcal,avg_hr_bpm,max_hr_bpm,min_hr_bpm,has_route,route_id,start_local,end_local
b39671b4222311cef47e6a387ed173fa6f105398,Yoga,Peloton,,2020-01-04 05:03:12+00:00,2020-01-04 05:03:35+00:00,-360,23.000000000000004,,,,,,False,,2020-01-03 22:03:12-07:00,2020-01-03 22:03:35-07:00
3df6a06ef8edf26f963862530f46aaa46ff02776,Yoga,Peloton,,2020-01-04 05:04:22+00:00,2020-01-04 05:09:22+00:00,-360,300.0,,,,,,False,,2020-01-03 22:04:22-07:00,2020-01-03 22:09:22-07:00
a3f7190fbb52a4ea7c8762c7e921c2cd80ed4278,Yoga,Peloton,,2020-01-04 05:11:04+00:00,2020-01-04 05:16:04+00:00,-360,300.0,,,,,,False,,2020-01-03 22:11:04-07:00,2020-01-03 22:16:04-07:00
edfea7f06ddd1928b4a8901b92389db67a514edf,Walking,Peloton,,2020-01-05 04:45:12+00:00,2020-01-05 05:15:12+00:00,-360,1800.0,,,,,,False,,2020-01-04 21:45:12-07:00,2020-01-04 22:15:12-07:00
f93f126711ec2ee03d32965b4dfaad640a59f88c,Running,Jason’s Apple Watch,"<<HKDevice: 0xc7faa7c50>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch4,4, software:6.1.1, creation date:2019-12-12 09:29:46 +0000>",2020-01-05 05:09:58+00:00,2020-01-05 05:17:24+00:00,-360,442.3838336467743,,,,,,False,,2020-01-04 22:09:58-07:00,2020-01-04 22:17:24-07:00
a0306ad441b42c7effb0791636357d665d7bf665,PreparationAndRecovery,Peloton,,2020-01-05 07:08:57+00:00,2020-01-05 07:18:57+00:00,-360,600.0,,,,,,False,,2020-01-05 00:08:57-07:00,2020-01-05 00:18:57-07:00
3d75eeb65c21c0ad1433643246affdb1c07d256d,Running,Peloton,,2020-01-06 01:31:53+00:00,2020-01-06 02:01:53+00:00,-360,1800.0,,,,,,False,,2020-01-05 18:31:53-07:00,2020-01-05 19:01:53-07:00
056c9d61ae8941736e9f5e9c328f036494ed7878,Running,Peloton,,2020-01-07 04:46:58+00:00,2020-01-07 05:16:58+00:00,-360,1800.0,,,,,,False,,2020-01-06 21:46:58-07:00,2020-01-06 22:16:58-07:00
5bb4033c307e6ac522471fec82a77d4a4ea0cacb,Running,Jason’s Apple Watch,"<<HKDevice: 0xc7faa7c50>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch4,4, software:6.1.1, creation date:2019-12-12 09:29:46 +0000>",2020-01-07 04:50:10+00:00,2020-01-07 05:17:17+00:00,-360,1582.2080385684965,,,,,,False,,2020-01-06 21:50:10-07:00,2020-01-06 22:17:17-07:00
acdbb5961c1929bd8804ad09bc5e990989001565,Running,Peloton,,2020-01-08 01:19:17+00:00,2020-01-08 01:49:17+00:00,-360,1800.0,,,,,,False,,2020-01-07 18:19:17-07:00,2020-01-07 18:49:17-07:00
9d1e5482c0ecb3f01aa007fa9beddefd12351df1,Running,Jason’s Apple Watch,"<<HKDevice: 0xc7faa7c50>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch4,4, software:6.1.1, creation date:2019-12-12 09:29:46 +0000>",2020-01-08 01:20:22+00:00,2020-01-08 01:49:41+00:00,-360,1721.0884512662885,,,,,,False,,2020-01-07 18:20:22-07:00,2020-01-07 18:49:41-07:00
ab1a6ad0ce44136925f9837a1bd377f7c7732ea9,Running,Peloton,,2020-01-10 05:43:48+00:00,2020-01-10 06:13:48+00:00,-360,1800.0,,,,,,False,,2020-01-09 22:43:48-07:00,2020-01-09 23:13:48-07:00
a96d52b8931ae0247852787f30a28a7df69877d3,Running,Jason’s Apple Watch,"<<HKDevice: 0xc7faa7c50>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch4,4, software:6.1.1, creation date:2019-12-12 09:29:46 +0000>",2020-01-10 05:44:00+00:00,2020-01-10 06:16:14+00:00,-360,1680.8453238010409,,,,,,False,,2020-01-09 22:44:00-07:00,2020-01-09 23:16:14-07:00
87bd5a7c6c15d638ecbab847881e8d2f3b707f17,Yoga,Peloton,,2020-01-11 03:24:40+00:00,2020-01-11 03:34:40+00:00,-360,600.0,,,,,,False,,2020-01-10 20:24:40-07:00,2020-01-10 20:34:40-07:00
3672eced6506ab7ae91a6f25fe03d617c834b1bc,Running,Peloton,,2020-01-12 04:29:37+00:00,2020-01-12 04:37:55+00:00,-360,498.00000000000006,,,,,,False,,2020-01-11 21:29:37-07:00,2020-01-11 21:37:55-07:00
b369404499baaab5bcd9e8112c13a7c4da85f2d1,Running,Peloton,,2020-03-08 23:30:48+00:00,2020-03-08 23:50:48+00:00,-360,1200.0,,,,,,False,,2020-03-08 17:30:48-06:00,2020-03-08 17:50:48-06:00
97a1bb5f79e5524eccfe551fe5f25e4ca4a1b6bd,Walking,Peloton,,2020-03-20 23:14:07+00:00,2020-03-20 23:34:07+00:00,-360,1200.0,,,,,,False,,2020-03-20 17:14:07-06:00,2020-03-20 17:34:07-06:00
04c1b4631f09578842a154f96cf9ee54982dbd0d,PreparationAndRecovery,Peloton,,2020-04-14 05:12:53+00:00,2020-04-14 05:17:53+00:00,-360,300.0,,,,,,False,,2020-04-13 23:12:53-06:00,2020-04-13 23:17:53-06:00
486aedea8e45661b2eebeffe11b9719a8bb894e6,Walking,Peloton,,2020-07-06 02:04:55+00:00,2020-07-06 02:24:55+00:00,-360,1200.0,,,,,,False,,2020-07-05 20:04:55-06:00,2020-07-05 20:24:55-06:00
f3631cb4d56109866caf941fae0bf988d2999c1f,Running,Peloton,,2020-08-20 01:58:36+00:00,2020-08-20 02:28:36+00:00,-360,1800.0,,,,,,False,,2020-08-19 19:58:36-06:00,2020-08-19 20:28:36-06:00
