month,days,total_steps,avg_steps,median_steps,goal_days,miles_est
2021-06,30,198125.0,6604.166666666667,5219.5,8,96.02538929001952
2021-07,31,225804.0,7284.0,5609.0,7,109.44059055264893
2021-08,31,332809.0,10735.774193548386,8025.0,12,161.30278250711473
2021-09,30,364493.0,12149.766666666666,9509.5,13,176.65909006176446
2021-10,31,352603.0,11374.290322580646,8770.0,13,170.89635502752682
2021-11,30,328170.0,10939.0,10094.5,15,159.05439496936634
2021-12,31,452081.0,14583.258064516129,14989.0,21,219.11043036275743
2022-01,31,276272.0,8912.0,8496.0,11,133.90095318577804
2022-02,28,368163.0,13148.67857142857,10209.0,14,178.4378316576982
2022-03,31,465219.0,15007.064516129032,14649.0,21,225.47803447375944
2022-04,30,830769.0,27692.3,26403.0,29,402.6494215019822
2022-05,31,636762.0,20540.709677419356,20368.0,25,308.61990629699136
2022-06,30,475339.0,15844.633333333333,11312.5,20,230.38290230777835
2022-07,31,602646.0,19440.1935483871,19596.0,26,292.0848795158264
2022-08,31,549620.0,17729.677419354837,17370.0,24,266.3847291436241
2022-09,30,367592.0,12253.066666666668,11543.0,19,178.16108466824912
2022-10,31,490755.0,15830.806451612903,11587.0,21,237.85458635216924
2022-11,30,319643.0,10654.766666666666,10293.0,16,154.92160761554427
2022-12,31,398783.0,12863.967741935483,9900.0,14,193.27844955074752
2023-01,31,272800.0,8800.0,8462.0,8,132.2181763952925
2023-02,28,274460.0,9802.142857142857,8716.0,9,133.02272981470665
2023-03,31,342255.0,11040.483870967742,8610.0,12,165.88098226602213
2023-04,30,353375.0,11779.166666666666,11917.5,16,171.2705208346279
2023-05,31,376793.0,12154.612903225807,9763.0,14,182.6205400971827
2023-06,30,558039.0,18601.3,16361.5,23,270.4651720581108
2023-07,31,470363.0,15173.0,11581.0,18,227.9711807324742
2023-08,31,463000.0,14935.483870967742,14690.0,19,224.40255011371124
2023-09,30,386378.0,12879.266666666666,9442.5,13,187.26610908819765
2023-10,31,271478.0,8757.354838709678,6614.0,8,131.57744168416866
2023-11,30,249201.0,8306.7,7482.0,9,120.78043172977743
2023-12,31,204024.0,6581.419354838709,5750.0,7,98.88446195334734
2024-01,31,342083.0,11034.935483870968,9745.0,15,165.79761889967318
2024-02,29,317859.0,10960.655172413793,9687.0,13,154.05695502504133
2024-03,31,410499.0,13241.90322580645,10280.0,16,198.95685187716705
2024-04,30,529689.0,17656.3,18835.5,21,256.7247567325736
2024-05,31,526370.0,16979.677419354837,19514.0,21,255.11613456447986
2024-06,30,723897.0,24129.9,22782.5,27,350.85169075521645
2024-07,31,651451.0,21014.548387096773,23940.0,28,315.7392347173376
2024-08,31,601358.0,19398.645161290322,19109.0,23,291.4606236096785
2024-09,30,355115.0,11837.166666666666,10134.5,15,172.11384791280898
2024-10,31,439357.0,14172.806451612903,10148.0,17,212.94347993587436
2024-11,30,293887.0,9796.233333333334,8645.0,11,142.4384281755254
2024-12,31,219150.0,7069.354838709677,6288.0,6,106.21559148470803
2025-01,31,167546.0,5404.709677419355,6171.0,3,81.20464289708826
2025-02,28,247364.0,8834.42857142857,8445.0,10,119.89009159034138
2025-03,31,354062.0,11421.354838709678,8216.0,11,171.60348962928902
2025-04,30,327034.0,10901.133333333333,8940.0,13,158.50380901487569
2025-05,31,357554.0,11534.0,12268.0,17,173.29595983446632
2025-06,30,330267.0,11008.9,8214.0,13,160.07074949979497
2025-07,31,323382.0,10431.677419354839,8608.0,13,156.7337914921645
2025-08,29,296814.0,10234.965517241379,3941.0,12,143.8570594156611
